Unnamed: 0,Listing Type,Address,City,State,Zip,APN,Beds,Baths,Property Type,Estimated Value,List Date,List Price,Status,Document Type,Default Amount,Last Updated,Sale Amount,Sale Date,Estimated Equity
1,Pre-Foreclosure,644 Thieriot Ave Bronx,Bronx,NY,10473,03560-0028,6,-,"Duplex (2 units, any combination)","$480,449",04/14/2022,"$500,000",FAIL,Notice of Lis Pendens,-,10/18/2021,"$270,000",10/27/1997,"$-82,025"
2,Pre-Foreclosure,736 Noble Ave Bronx,Bronx,NY,10473,03594-0023,10,4,"Quadruplex (4 units, any combination)","$840,643",10/05/2021,"$875,000",FAIL,Notice of Lis Pendens,-,08/19/2021,"$570,000",03/31/2016,"$272,844"
3,Pre-Foreclosure,639 Leland Ave #A Bronx,Bronx,NY,10473,03560-0063,-,-,Single Family Residential,"$575,214",04/06/2021,"$150,000",SOLD,Notice of Lis Pendens,-,06/29/2021,"$150,000",04/06/2021,"$575,214"
4,Pre-Foreclosure,401 Harding Park Bronx,Bronx,NY,10473,03429-0310,3,2,Single Family Residential,"$604,073",09/17/2020,"$629,999",FAIL,Notice of Lis Pendens,"$255,000",03/30/2021,"$240,000",05/08/2019,"$4,252"
5,Pre-Foreclosure,170 Newman Ave Bronx,Bronx,NY,10473,03445-0043,2,2,Single Family Residential,"$552,850",03/21/2020,"$399,000",FAIL,Notice of Lis Pendens,-,05/10/2022,-,06/27/2002,"$355,584"
6,Pre-Foreclosure,138 Husson Ave Bronx,Bronx,NY,10473,03448-0020,4,3,"Duplex (2 units, any combination)","$705,588",10/13/2019,-,FAIL,Notice of Lis Pendens,-,04/01/2021,"$550,620",02/19/2004,"$314,119"
7,Pre-Foreclosure,502 White Plains Rd Bronx,Bronx,NY,10473,03528-0008,6,6,"Duplex (2 units, any combination)","$570,002",03/02/2019,"$725,000",FAIL,Notice of Lis Pendens,"$621,907",06/14/2022,-,-,"$86,777"
8,Pre-Foreclosure,740 Rosedale Ave Bronx,Bronx,NY,10473,03595-0024,3,2.5,Single Family Residential,"$625,300",07/19/2018,"$429,000",FAIL,Notice of Lis Pendens,-,08/11/2021,-,-,"$245,559"
9,Pre-Foreclosure,1812 Lacombe Ave Bronx,Bronx,NY,10473,03495-0044,8,4,"Duplex (2 units, any combination)","$721,330",02/06/2018,"$569,000",FAIL,Notice of Lis Pendens,-,03/24/2021,"$490,000",09/16/2016,"$721,330"
10,Pre-Foreclosure,102 Admiral Ct #22 Bronx,Bronx,NY,10473,03432-1322,3,2,Condominium (Residential),"$517,862",08/08/2017,"$2,350",FAIL,Notice of Lis Pendens,-,07/15/2021,"$19,300",01/04/2016,"$517,862"
11,Pre-Foreclosure,1930 Patterson Ave Bronx,Bronx,NY,10473,03475-0045,-,-,"Retail Stores (Personal Services, Photography, Travel)",-,02/07/2016,"$850,000",FAIL,Notice of Lis Pendens,"$425,000",03/18/2022,-,01/27/2020,-
12,Pre-Foreclosure,1480 Bruckner Blvd #1494 Bronx,Bronx,NY,10473,03650-0041,-,-,"Auto repair, auto parts, Garage",-,06/05/2015,"$4,900,000",FAIL,Notice of Lis Pendens,-,09/24/2021,-,10/05/2012,-
13,Pre-Foreclosure,2215 Homer Ave Bronx,Bronx,NY,10473,03614-0026,3,1.5,Single Family Residential,"$579,144",05/21/2015,"$231,500",SOLD,Notice of Lis Pendens,-,07/16/2021,"$399,000",10/19/2015,"$242,014"
14,Pre-Foreclosure,357 Thieriot Ave Bronx,Bronx,NY,10473,03470-0040,-,3,"Duplex (2 units, any combination)","$740,183",08/28/2012,"$399,000",FAIL,Notice of Lis Pendens,"$300,000",05/18/2022,"$187,000",07/12/1996,"$740,183"
15,Pre-Foreclosure,536 Commonwealth Ave Bronx,Bronx,NY,10473,03520-0023,-,-,"Triplex (3 units, any combination)","$864,387",-,-,-,Notice of Lis Pendens,-,08/31/2021,"$200,000",02/28/2022,"$418,365"
16,Pre-Foreclosure,222 Neptune Ct #6222H Bronx,Bronx,NY,10473,03432-1078,-,-,Apartments (generic),"$423,443",-,-,-,Notice of Lis Pendens,-,08/30/2021,"$21,000",04/21/2014,"$423,443"
17,Pre-Foreclosure,2163 Turnbull Ave Bronx,Bronx,NY,10473,03685-0050,-,-,"Duplex (2 units, any combination)","$657,266",-,-,-,Notice of Lis Pendens,-,09/29/2021,"$470,000",04/01/2014,"$272,716"
18,Pre-Foreclosure,928 Taylor Ave Bronx,Bronx,NY,10473,03667-0039,-,-,"Duplex (2 units, any combination)","$732,425",-,-,-,Notice of Lis Pendens,-,04/21/2021,"$505,000",02/28/2014,"$732,425"
19,Pre-Foreclosure,3 Starboard Ct Bronx,Bronx,NY,10473,03443-0012,-,-,"Duplex (2 units, any combination)","$724,104",-,-,-,Notice of Lis Pendens,-,10/05/2021,"$385,000",11/27/2013,"$724,104"
20,Pre-Foreclosure,107 Heron Ln #446 Bronx,Bronx,NY,10473,03432-1922,-,-,Condominium (Residential),"$518,513",-,-,-,Notice of Lis Pendens,-,05/17/2021,"$385,320",03/31/2011,"$230,234"
21,Pre-Foreclosure,132 Heron Ln #355 Bronx,Bronx,NY,10473,03432-1831,-,-,Condominium (Residential),"$519,425",-,-,-,Notice of Lis Pendens,-,05/21/2021,"$410,670",03/24/2011,"$224,718"
22,Pre-Foreclosure,2242 Turnbull Ave Bronx,Bronx,NY,10473,03690-0024,-,-,"Duplex (2 units, any combination)","$617,633",-,-,-,Notice of Lis Pendens,-,05/19/2021,"$465,000",08/20/2007,"$277,353"
23,Pre-Foreclosure,1808 Lacombe Ave Bronx,Bronx,NY,10473,03495-0042,-,-,"Duplex (2 units, any combination)","$826,683",-,-,-,Notice of Lis Pendens,-,11/04/2021,"$600,000",12/21/2006,"$747,697"
24,Pre-Foreclosure,303 Thieriot Ave Bronx,Bronx,NY,10473,03470-0063,-,-,"Duplex (2 units, any combination)","$688,675",-,-,-,Notice of Lis Pendens,"$402,800",03/19/2020,"$503,500",10/31/2006,"$688,675"
25,Pre-Foreclosure,310 Newman Ave Bronx,Bronx,NY,10473,03476-0108,-,-,"Duplex (2 units, any combination)","$705,724",-,-,-,Notice of Lis Pendens,"$456,000",02/28/2020,"$570,000",05/17/2006,"$391,132"
26,Pre-Foreclosure,1837 Patterson Ave Bronx,Bronx,NY,10473,03496-0001,-,-,"Duplex (2 units, any combination)","$608,606",-,-,-,Notice of Lis Pendens,-,11/22/2021,"$375,000",04/15/2005,"$360,789"
27,Pre-Foreclosure,1899 Obrien Ave Bronx,Bronx,NY,10473,03473-0001,-,-,"Duplex (2 units, any combination)","$584,732",-,-,-,Notice of Lis Pendens,"$391,000",06/09/2022,"$265,000",10/05/2004,"$584,732"
28,Pre-Foreclosure,459 Taylor Ave Bronx,Bronx,NY,10473,03495-0045,-,-,Commercial/Office/Residential Mixed Use,-,-,-,-,Notice of Lis Pendens,-,05/05/2021,"$499,999",03/10/2004,-
29,Pre-Foreclosure,6 Dune Ct Bronx,Bronx,NY,10473,03443-0032,-,-,"Duplex (2 units, any combination)","$759,621",-,-,-,Notice of Lis Pendens,"$465,500",05/19/2022,"$338,870",02/05/2004,"$442,074"
30,Pre-Foreclosure,2234 Hermany Ave Bronx,Bronx,NY,10473,03691-0022,-,-,"Triplex (3 units, any combination)","$820,315",-,-,-,Notice of Lis Pendens,-,08/12/2021,-,01/14/2002,"$597,331"
31,Pre-Foreclosure,514 Taylor Ave Bronx,Bronx,NY,10473,03523-0012,-,-,Single Family Residential,"$634,599",-,-,-,Notice of Lis Pendens,"$320,000",03/13/2020,-,06/21/2001,"$634,599"
32,Pre-Foreclosure,306 Castle Hill Ave Bronx,Bronx,NY,10473,03486-0044,-,-,"Duplex (2 units, any combination)","$737,058",-,-,-,Notice of Lis Pendens,-,05/14/2021,-,03/30/2001,"$737,058"
33,Pre-Foreclosure,838 Leland Ave #22C Bronx,Bronx,NY,10473,03643-1066,-,-,Condominium (Residential),"$339,819",-,-,-,Notice of Lis Pendens,-,06/04/2021,"$108,000",12/06/1999,"$209,155"
34,Pre-Foreclosure,711 Commonwealth Ave Bronx,Bronx,NY,10473,03595-0060,-,-,"Triplex (3 units, any combination)","$855,785",-,-,-,Notice of Lis Pendens,-,07/01/2021,"$217,000",01/13/1999,"$716,245"
35,Pre-Foreclosure,314 White Plains Rd Bronx,Bronx,NY,10473,03475-0017,-,-,Single Family Residential,"$560,358",-,-,-,Notice of Lis Pendens,"$37,900",02/13/2020,"$155,000",11/19/1998,"$234,885"
36,Pre-Foreclosure,434 Screvin Ave Bronx,Bronx,NY,10473,03507-0017,-,-,"Duplex (2 units, any combination)","$790,692",-,-,-,Notice of Lis Pendens,"$239,400",05/26/2022,"$230,000",11/13/1998,"$598,590"
37,Pre-Foreclosure,460 Commonwealth Ave Bronx,Bronx,NY,10473,03493-0025,-,-,"Triplex (3 units, any combination)","$818,656",-,-,-,Notice of Lis Pendens,"$1,005,000",04/20/2022,-,-,"$-109,295"
38,Pre-Foreclosure,918 Boynton Ave Bronx,Bronx,NY,10473,03653-0011,-,-,Single Family Residential,"$559,440",-,-,-,Notice of Lis Pendens,-,10/01/2021,-,-,"$181,951"
39,Pre-Foreclosure,451 Olmstead Ave Bronx,Bronx,NY,10473,03507-0042,-,-,Single Family Residential,"$607,485",-,-,-,Notice of Lis Pendens,-,06/18/2021,-,-,"$498,908"
40,Pre-Foreclosure,406 Screvin Ave Bronx,Bronx,NY,10473,03507-0010,-,-,"Triplex (3 units, any combination)","$823,977",-,-,-,Notice of Lis Pendens,"$802,500",06/09/2022,-,-,"$-587,427"
41,Pre-Foreclosure,428 Saint Lawrence Ave Bronx,Bronx,NY,10473,03494-0022,-,-,Single Family Residential,"$508,764",-,-,-,Notice of Lis Pendens,"$285,000",12/20/2021,-,-,"$281,935"
42,Pre-Foreclosure,613 Beach Ave Bronx,Bronx,NY,10473,03557-0074,-,-,"Duplex (2 units, any combination)","$779,831",-,-,-,Notice of Lis Pendens,-,08/11/2021,-,-,"$-89,221"
43,Pre-Foreclosure,319 Thieriot Ave Bronx,Bronx,NY,10473,03470-0055,-,-,"Duplex (2 units, any combination)","$736,357",-,-,-,Notice of Lis Pendens,-,12/01/2021,-,-,"$523,667"
44,Pre-Foreclosure,108 Stephens Ave Bronx,Bronx,NY,10473,03446-0017,-,-,Single Family Residential,"$472,293",-,-,-,Notice of Lis Pendens,"$345,000",02/26/2020,-,-,"$204,037"
45,Pre-Foreclosure,1862 Story Ave #37-A Bronx,Bronx,NY,10473,03643-1304,-,-,Condominium (Residential),"$344,441",-,-,-,Notice of Lis Pendens,"$50,000",03/09/2020,-,-,"$308,207"
Unnamed: 0,Listing Type,Address,City,State,Zip,APN,Beds,Baths,Property Type,Estimated Value,List Date,List Price,Status,Document Type,Default Amount,Last Updated,Sale Amount,Sale Date,Estimated Equity
1,Pre-Foreclosure,644 Thieriot Ave Bronx,Bronx,NY,10473,03560-0028,6,-,"Duplex (2 units, any combination)","$480,449",04/14/2022,"$500,000",FAIL,Notice of Lis Pendens,-,10/18/2021,"$270,000",10/27/1997,"$-82,025"
2,Pre-Foreclosure,736 Noble Ave Bronx,Bronx,NY,10473,03594-0023,10,4,"Quadruplex (4 units, any combination)","$840,643",10/05/2021,"$875,000",FAIL,Notice of Lis Pendens,-,08/19/2021,"$570,000",03/31/2016,"$272,844"
3,Pre-Foreclosure,639 Leland Ave #A Bronx,Bronx,NY,10473,03560-0063,-,-,Single Family Residential,"$575,214",04/06/2021,"$150,000",SOLD,Notice of Lis Pendens,-,06/29/2021,"$150,000",04/06/2021,"$575,214"
4,Pre-Foreclosure,401 Harding Park Bronx,Bronx,NY,10473,03429-0310,3,2,Single Family Residential,"$604,073",09/17/2020,"$629,999",FAIL,Notice of Lis Pendens,"$255,000",03/30/2021,"$240,000",05/08/2019,"$4,252"
5,Pre-Foreclosure,170 Newman Ave Bronx,Bronx,NY,10473,03445-0043,2,2,Single Family Residential,"$552,850",03/21/2020,"$399,000",FAIL,Notice of Lis Pendens,-,05/10/2022,-,06/27/2002,"$355,584"
6,Pre-Foreclosure,138 Husson Ave Bronx,Bronx,NY,10473,03448-0020,4,3,"Duplex (2 units, any combination)","$705,588",10/13/2019,-,FAIL,Notice of Lis Pendens,-,04/01/2021,"$550,620",02/19/2004,"$314,119"
7,Pre-Foreclosure,502 White Plains Rd Bronx,Bronx,NY,10473,03528-0008,6,6,"Duplex (2 units, any combination)","$570,002",03/02/2019,"$725,000",FAIL,Notice of Lis Pendens,"$621,907",06/14/2022,-,-,"$86,777"
8,Pre-Foreclosure,740 Rosedale Ave Bronx,Bronx,NY,10473,03595-0024,3,2.5,Single Family Residential,"$625,300",07/19/2018,"$429,000",FAIL,Notice of Lis Pendens,-,08/11/2021,-,-,"$245,559"
9,Pre-Foreclosure,1812 Lacombe Ave Bronx,Bronx,NY,10473,03495-0044,8,4,"Duplex (2 units, any combination)","$721,330",02/06/2018,"$569,000",FAIL,Notice of Lis Pendens,-,03/24/2021,"$490,000",09/16/2016,"$721,330"
10,Pre-Foreclosure,102 Admiral Ct #22 Bronx,Bronx,NY,10473,03432-1322,3,2,Condominium (Residential),"$517,862",08/08/2017,"$2,350",FAIL,Notice of Lis Pendens,-,07/15/2021,"$19,300",01/04/2016,"$517,862"
11,Pre-Foreclosure,1930 Patterson Ave Bronx,Bronx,NY,10473,03475-0045,-,-,"Retail Stores (Personal Services, Photography, Travel)",-,02/07/2016,"$850,000",FAIL,Notice of Lis Pendens,"$425,000",03/18/2022,-,01/27/2020,-
12,Pre-Foreclosure,1480 Bruckner Blvd #1494 Bronx,Bronx,NY,10473,03650-0041,-,-,"Auto repair, auto parts, Garage",-,06/05/2015,"$4,900,000",FAIL,Notice of Lis Pendens,-,09/24/2021,-,10/05/2012,-
13,Pre-Foreclosure,2215 Homer Ave Bronx,Bronx,NY,10473,03614-0026,3,1.5,Single Family Residential,"$579,144",05/21/2015,"$231,500",SOLD,Notice of Lis Pendens,-,07/16/2021,"$399,000",10/19/2015,"$242,014"
14,Pre-Foreclosure,357 Thieriot Ave Bronx,Bronx,NY,10473,03470-0040,-,3,"Duplex (2 units, any combination)","$740,183",08/28/2012,"$399,000",FAIL,Notice of Lis Pendens,"$300,000",05/18/2022,"$187,000",07/12/1996,"$740,183"
15,Pre-Foreclosure,536 Commonwealth Ave Bronx,Bronx,NY,10473,03520-0023,-,-,"Triplex (3 units, any combination)","$864,387",-,-,-,Notice of Lis Pendens,-,08/31/2021,"$200,000",02/28/2022,"$418,365"
16,Pre-Foreclosure,222 Neptune Ct #6222H Bronx,Bronx,NY,10473,03432-1078,-,-,Apartments (generic),"$423,443",-,-,-,Notice of Lis Pendens,-,08/30/2021,"$21,000",04/21/2014,"$423,443"
17,Pre-Foreclosure,2163 Turnbull Ave Bronx,Bronx,NY,10473,03685-0050,-,-,"Duplex (2 units, any combination)","$657,266",-,-,-,Notice of Lis Pendens,-,09/29/2021,"$470,000",04/01/2014,"$272,716"
18,Pre-Foreclosure,928 Taylor Ave Bronx,Bronx,NY,10473,03667-0039,-,-,"Duplex (2 units, any combination)","$732,425",-,-,-,Notice of Lis Pendens,-,04/21/2021,"$505,000",02/28/2014,"$732,425"
19,Pre-Foreclosure,3 Starboard Ct Bronx,Bronx,NY,10473,03443-0012,-,-,"Duplex (2 units, any combination)","$724,104",-,-,-,Notice of Lis Pendens,-,10/05/2021,"$385,000",11/27/2013,"$724,104"
20,Pre-Foreclosure,107 Heron Ln #446 Bronx,Bronx,NY,10473,03432-1922,-,-,Condominium (Residential),"$518,513",-,-,-,Notice of Lis Pendens,-,05/17/2021,"$385,320",03/31/2011,"$230,234"
21,Pre-Foreclosure,132 Heron Ln #355 Bronx,Bronx,NY,10473,03432-1831,-,-,Condominium (Residential),"$519,425",-,-,-,Notice of Lis Pendens,-,05/21/2021,"$410,670",03/24/2011,"$224,718"
22,Pre-Foreclosure,2242 Turnbull Ave Bronx,Bronx,NY,10473,03690-0024,-,-,"Duplex (2 units, any combination)","$617,633",-,-,-,Notice of Lis Pendens,-,05/19/2021,"$465,000",08/20/2007,"$277,353"
23,Pre-Foreclosure,1808 Lacombe Ave Bronx,Bronx,NY,10473,03495-0042,-,-,"Duplex (2 units, any combination)","$826,683",-,-,-,Notice of Lis Pendens,-,11/04/2021,"$600,000",12/21/2006,"$747,697"
24,Pre-Foreclosure,303 Thieriot Ave Bronx,Bronx,NY,10473,03470-0063,-,-,"Duplex (2 units, any combination)","$688,675",-,-,-,Notice of Lis Pendens,"$402,800",03/19/2020,"$503,500",10/31/2006,"$688,675"
25,Pre-Foreclosure,310 Newman Ave Bronx,Bronx,NY,10473,03476-0108,-,-,"Duplex (2 units, any combination)","$705,724",-,-,-,Notice of Lis Pendens,"$456,000",02/28/2020,"$570,000",05/17/2006,"$391,132"
26,Pre-Foreclosure,1837 Patterson Ave Bronx,Bronx,NY,10473,03496-0001,-,-,"Duplex (2 units, any combination)","$608,606",-,-,-,Notice of Lis Pendens,-,11/22/2021,"$375,000",04/15/2005,"$360,789"
27,Pre-Foreclosure,1899 Obrien Ave Bronx,Bronx,NY,10473,03473-0001,-,-,"Duplex (2 units, any combination)","$584,732",-,-,-,Notice of Lis Pendens,"$391,000",06/09/2022,"$265,000",10/05/2004,"$584,732"
28,Pre-Foreclosure,459 Taylor Ave Bronx,Bronx,NY,10473,03495-0045,-,-,Commercial/Office/Residential Mixed Use,-,-,-,-,Notice of Lis Pendens,-,05/05/2021,"$499,999",03/10/2004,-
29,Pre-Foreclosure,6 Dune Ct Bronx,Bronx,NY,10473,03443-0032,-,-,"Duplex (2 units, any combination)","$759,621",-,-,-,Notice of Lis Pendens,"$465,500",05/19/2022,"$338,870",02/05/2004,"$442,074"
30,Pre-Foreclosure,2234 Hermany Ave Bronx,Bronx,NY,10473,03691-0022,-,-,"Triplex (3 units, any combination)","$820,315",-,-,-,Notice of Lis Pendens,-,08/12/2021,-,01/14/2002,"$597,331"
31,Pre-Foreclosure,514 Taylor Ave Bronx,Bronx,NY,10473,03523-0012,-,-,Single Family Residential,"$634,599",-,-,-,Notice of Lis Pendens,"$320,000",03/13/2020,-,06/21/2001,"$634,599"
32,Pre-Foreclosure,306 Castle Hill Ave Bronx,Bronx,NY,10473,03486-0044,-,-,"Duplex (2 units, any combination)","$737,058",-,-,-,Notice of Lis Pendens,-,05/14/2021,-,03/30/2001,"$737,058"
33,Pre-Foreclosure,838 Leland Ave #22C Bronx,Bronx,NY,10473,03643-1066,-,-,Condominium (Residential),"$339,819",-,-,-,Notice of Lis Pendens,-,06/04/2021,"$108,000",12/06/1999,"$209,155"
34,Pre-Foreclosure,711 Commonwealth Ave Bronx,Bronx,NY,10473,03595-0060,-,-,"Triplex (3 units, any combination)","$855,785",-,-,-,Notice of Lis Pendens,-,07/01/2021,"$217,000",01/13/1999,"$716,245"
35,Pre-Foreclosure,314 White Plains Rd Bronx,Bronx,NY,10473,03475-0017,-,-,Single Family Residential,"$560,358",-,-,-,Notice of Lis Pendens,"$37,900",02/13/2020,"$155,000",11/19/1998,"$234,885"
36,Pre-Foreclosure,434 Screvin Ave Bronx,Bronx,NY,10473,03507-0017,-,-,"Duplex (2 units, any combination)","$790,692",-,-,-,Notice of Lis Pendens,"$239,400",05/26/2022,"$230,000",11/13/1998,"$598,590"
37,Pre-Foreclosure,460 Commonwealth Ave Bronx,Bronx,NY,10473,03493-0025,-,-,"Triplex (3 units, any combination)","$818,656",-,-,-,Notice of Lis Pendens,"$1,005,000",04/20/2022,-,-,"$-109,295"
38,Pre-Foreclosure,918 Boynton Ave Bronx,Bronx,NY,10473,03653-0011,-,-,Single Family Residential,"$559,440",-,-,-,Notice of Lis Pendens,-,10/01/2021,-,-,"$181,951"
39,Pre-Foreclosure,451 Olmstead Ave Bronx,Bronx,NY,10473,03507-0042,-,-,Single Family Residential,"$607,485",-,-,-,Notice of Lis Pendens,-,06/18/2021,-,-,"$498,908"
40,Pre-Foreclosure,406 Screvin Ave Bronx,Bronx,NY,10473,03507-0010,-,-,"Triplex (3 units, any combination)","$823,977",-,-,-,Notice of Lis Pendens,"$802,500",06/09/2022,-,-,"$-587,427"
41,Pre-Foreclosure,428 Saint Lawrence Ave Bronx,Bronx,NY,10473,03494-0022,-,-,Single Family Residential,"$508,764",-,-,-,Notice of Lis Pendens,"$285,000",12/20/2021,-,-,"$281,935"
42,Pre-Foreclosure,613 Beach Ave Bronx,Bronx,NY,10473,03557-0074,-,-,"Duplex (2 units, any combination)","$779,831",-,-,-,Notice of Lis Pendens,-,08/11/2021,-,-,"$-89,221"
43,Pre-Foreclosure,319 Thieriot Ave Bronx,Bronx,NY,10473,03470-0055,-,-,"Duplex (2 units, any combination)","$736,357",-,-,-,Notice of Lis Pendens,-,12/01/2021,-,-,"$523,667"
44,Pre-Foreclosure,108 Stephens Ave Bronx,Bronx,NY,10473,03446-0017,-,-,Single Family Residential,"$472,293",-,-,-,Notice of Lis Pendens,"$345,000",02/26/2020,-,-,"$204,037"
45,Pre-Foreclosure,1862 Story Ave #37-A Bronx,Bronx,NY,10473,03643-1304,-,-,Condominium (Residential),"$344,441",-,-,-,Notice of Lis Pendens,"$50,000",03/09/2020,-,-,"$308,207"
